year,cable_id,ocean_route,operator_type,age_years,fiber_pairs,length_km,n_landing_countries,chokepoint,design_capacity_tbps,lit_capacity_tbps,utilization_pct,protected_burial,route_redundancy,is_low_redundancy,vulnerability_index,fault_this_year,fault_next_year,prev_fault,fault_3y,never_faulted,yrs_since_fault,cum_fault_rate,history_available
2024,CAB0009,Intra-Asia,consortium,8.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,447.0,69.0,0.0,75.0,0.0,56.3,1.0,0.0,1.0,3.0,0,0,0.7777777777777778,1
2025,CAB0009,Intra-Asia,consortium,9.0,19.0,3494.0,5.0,Taiwan-Strait,640.6,520.8,28.9,0.0,77.0,0.0,57.9,0.0,0.0,1.0,2.0,0,1,0.7,1
2016,CAB0010,Trans-Atlantic,carrier,0.0,4.0,6108.0,5.0,,134.9,36.4,78.9,1.0,37.0,1.0,19.8,0.0,0.0,,0.0,1,99,0.0,0
2017,CAB0010,Trans-Atlantic,carrier,1.0,4.0,6108.0,5.0,,134.9,35.1,9.1,1.0,37.0,1.0,21.4,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0010,Trans-Atlantic,carrier,2.0,4.0,6108.0,5.0,,134.9,51.1,36.1,1.0,40.0,0.0,3.2,0.0,0.0,0.0,0.0,1,99,0.0,0
2019,CAB0010,Trans-Atlantic,carrier,3.0,4.0,6108.0,5.0,,134.9,45.2,77.9,1.0,45.0,0.0,4.8,0.0,1.0,0.0,0.0,1,99,0.0,1
2020,CAB0010,Trans-Atlantic,carrier,4.0,4.0,6108.0,5.0,,134.9,57.0,48.9,1.0,48.0,0.0,6.3,1.0,0.0,0.0,1.0,0,0,0.2,1
2021,CAB0010,Trans-Atlantic,carrier,5.0,4.0,6108.0,5.0,,134.9,68.4,68.6,1.0,50.0,0.0,7.9,0.0,0.0,1.0,1.0,0,1,0.16666666666666666,1
2022,CAB0010,Trans-Atlantic,carrier,6.0,4.0,6108.0,5.0,,134.9,80.7,14.6,1.0,51.0,0.0,9.5,0.0,0.0,0.0,1.0,0,2,0.14285714285714285,1
2023,CAB0010,Trans-Atlantic,carrier,7.0,4.0,6108.0,5.0,,134.9,97.8,83.1,1.0,54.0,0.0,11.1,0.0,0.0,0.0,0.0,0,3,0.125,1
2024,CAB0010,Trans-Atlantic,carrier,8.0,4.0,6108.0,5.0,,134.9,104.0,92.7,1.0,58.0,0.0,12.7,0.0,1.0,0.0,0.0,0,4,0.1111111111111111,1
2025,CAB0010,Trans-Atlantic,carrier,9.0,4.0,6108.0,5.0,,134.9,112.0,46.6,1.0,62.0,0.0,14.3,1.0,1.0,0.0,1.0,0,0,0.2,1
2015,CAB0011,Intra-Europe,consortium,5.0,4.0,502.0,7.0,,100.6,68.4,53.3,0.0,41.0,0.0,23.8,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0011,Intra-Europe,consortium,6.0,4.0,502.0,7.0,,100.6,63.3,21.2,0.0,42.0,0.0,25.4,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0011,Intra-Europe,consortium,7.0,4.0,502.0,7.0,,100.6,63.5,21.8,0.0,44.0,0.0,27.0,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0011,Intra-Europe,consortium,8.0,4.0,502.0,7.0,,100.6,68.6,65.5,0.0,45.0,0.0,28.6,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0011,Intra-Europe,consortium,9.0,4.0,502.0,7.0,,100.6,83.1,93.9,0.0,47.0,0.0,30.2,0.0,0.0,0.0,0.0,1,99,0.0,1
2020,CAB0011,Intra-Europe,consortium,10.0,4.0,502.0,7.0,,100.6,91.1,48.7,0.0,49.0,0.0,31.7,0.0,0.0,0.0,0.0,1,99,0.0,1
2021,CAB0011,Intra-Europe,consortium,11.0,4.0,502.0,7.0,,100.6,93.8,64.0,0.0,49.0,0.0,33.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0011,Intra-Europe,consortium,12.0,4.0,502.0,7.0,,100.6,100.0,45.6,0.0,52.0,0.0,34.9,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0011,Intra-Europe,consortium,13.0,4.0,502.0,7.0,,100.6,96.8,39.8,0.0,53.0,0.0,36.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0011,Intra-Europe,consortium,14.0,4.0,502.0,7.0,,100.6,100.6,85.6,0.0,53.0,0.0,38.1,0.0,0.0,0.0,0.0,1,99,0.0,1
2025,CAB0011,Intra-Europe,consortium,15.0,4.0,502.0,7.0,,100.6,100.6,100.0,0.0,58.0,0.0,39.7,0.0,0.0,0.0,0.0,1,99,0.0,1
2015,CAB0012,Intra-Europe,carrier,3.0,6.0,1062.0,8.0,,168.0,83.1,43.9,0.0,41.0,0.0,20.6,1.0,0.0,,1.0,0,0,1.0,0
2016,CAB0012,Intra-Europe,carrier,4.0,6.0,1062.0,8.0,,168.0,81.3,27.3,0.0,42.0,0.0,22.2,0.0,1.0,1.0,1.0,0,1,0.5,0
2017,CAB0012,Intra-Europe,carrier,5.0,6.0,1062.0,8.0,,168.0,83.6,100.0,0.0,44.0,0.0,23.8,1.0,1.0,0.0,2.0,0,0,0.6666666666666666,0
2018,CAB0012,Intra-Europe,carrier,6.0,6.0,1062.0,8.0,,168.0,95.1,44.1,0.0,45.0,0.0,25.4,1.0,1.0,1.0,2.0,0,0,0.75,1
2019,CAB0012,Intra-Europe,carrier,7.0,6.0,1062.0,8.0,,168.0,110.3,86.5,0.0,47.0,0.0,27.0,1.0,0.0,1.0,3.0,0,0,0.8,1
2020,CAB0012,Intra-Europe,carrier,8.0,6.0,1062.0,8.0,,168.0,114.5,56.7,0.0,49.0,0.0,28.6,0.0,1.0,1.0,2.0,0,1,0.6666666666666666,1
2021,CAB0012,Intra-Europe,carrier,9.0,6.0,1062.0,8.0,,168.0,132.3,51.0,0.0,49.0,0.0,30.2,1.0,0.0,0.0,2.0,0,0,0.7142857142857143,1
2022,CAB0012,Intra-Europe,carrier,10.0,6.0,1062.0,8.0,,168.0,136.2,39.6,0.0,52.0,0.0,31.7,0.0,1.0,1.0,1.0,0,1,0.625,1
2023,CAB0012,Intra-Europe,carrier,11.0,6.0,1062.0,8.0,,168.0,146.0,63.6,0.0,53.0,0.0,33.3,1.0,0.0,0.0,2.0,0,0,0.6666666666666666,1
2024,CAB0012,Intra-Europe,carrier,12.0,6.0,1062.0,8.0,,168.0,168.0,83.9,0.0,53.0,0.0,34.9,0.0,0.0,1.0,1.0,0,1,0.6,1
2025,CAB0012,Intra-Europe,carrier,13.0,6.0,1062.0,8.0,,168.0,168.0,41.6,0.0,58.0,0.0,36.5,0.0,1.0,0.0,1.0,0,2,0.5454545454545454,1
2022,CAB0013,Trans-Pacific,consortium,0.0,8.0,12780.0,4.0,,338.3,80.5,17.8,0.0,45.0,0.0,15.9,0.0,1.0,,0.0,1,99,0.0,0
2023,CAB0013,Trans-Pacific,consortium,1.0,8.0,12780.0,4.0,,338.3,114.4,21.6,0.0,47.0,0.0,17.5,1.0,1.0,0.0,1.0,0,0,0.5,0
2024,CAB0013,Trans-Pacific,consortium,2.0,8.0,12780.0,4.0,,338.3,102.1,57.2,0.0,49.0,0.0,19.0,1.0,0.0,1.0,2.0,0,0,0.6666666666666666,0
2025,CAB0013,Trans-Pacific,consortium,3.0,8.0,12780.0,4.0,,338.3,132.1,10.7,0.0,50.0,0.0,20.6,0.0,0.0,1.0,2.0,0,1,0.5,1
2015,CAB0014,Intra-Pacific-Islands,carrier,2.0,18.0,3848.0,6.0,,529.7,168.7,26.8,1.0,28.0,1.0,23.0,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0014,Intra-Pacific-Islands,carrier,3.0,18.0,3848.0,6.0,,529.7,238.8,42.3,1.0,29.0,1.0,24.6,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0014,Intra-Pacific-Islands,carrier,4.0,18.0,3848.0,6.0,,529.7,235.4,22.1,1.0,29.0,1.0,26.2,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0014,Intra-Pacific-Islands,carrier,5.0,18.0,3848.0,6.0,,529.7,329.6,18.7,1.0,30.0,1.0,27.8,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0014,Intra-Pacific-Islands,carrier,6.0,18.0,3848.0,6.0,,529.7,320.3,63.0,1.0,35.0,1.0,29.4,0.0,1.0,0.0,0.0,1,99,0.0,1
2020,CAB0014,Intra-Pacific-Islands,carrier,7.0,18.0,3848.0,6.0,,529.7,360.5,75.5,1.0,40.0,0.0,11.1,1.0,0.0,0.0,1.0,0,0,0.16666666666666666,1
2021,CAB0014,Intra-Pacific-Islands,carrier,8.0,18.0,3848.0,6.0,,529.7,387.7,63.5,1.0,41.0,0.0,12.7,0.0,0.0,1.0,1.0,0,1,0.14285714285714285,1
2022,CAB0014,Intra-Pacific-Islands,carrier,9.0,18.0,3848.0,6.0,,529.7,424.3,39.1,1.0,43.0,0.0,14.3,0.0,0.0,0.0,1.0,0,2,0.125,1
2023,CAB0014,Intra-Pacific-Islands,carrier,10.0,18.0,3848.0,6.0,,529.7,447.3,57.7,1.0,45.0,0.0,15.9,0.0,0.0,0.0,0.0,0,3,0.1111111111111111,1
2024,CAB0014,Intra-Pacific-Islands,carrier,11.0,18.0,3848.0,6.0,,529.7,486.7,55.0,1.0,48.0,0.0,17.5,0.0,1.0,0.0,0.0,0,4,0.1,1
2025,CAB0014,Intra-Pacific-Islands,carrier,12.0,18.0,3848.0,6.0,,529.7,528.3,39.7,1.0,50.0,0.0,19.0,1.0,0.0,0.0,1.0,0,0,0.18181818181818182,1
2015,CAB0015,Americas,consortium,1.0,7.0,6898.0,5.0,Panama,216.0,55.8,24.2,0.0,28.0,1.0,65.1,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0015,Americas,consortium,2.0,7.0,6898.0,5.0,Panama,216.0,77.6,63.8,0.0,29.0,1.0,66.7,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0015,Americas,consortium,3.0,7.0,6898.0,5.0,Panama,216.0,93.4,24.7,0.0,29.0,1.0,68.3,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0015,Americas,consortium,4.0,7.0,6898.0,5.0,Panama,216.0,105.1,45.1,0.0,31.0,1.0,69.8,0.0,1.0,0.0,0.0,1,99,0.0,1
2019,CAB0015,Americas,consortium,5.0,7.0,6898.0,5.0,Panama,216.0,122.7,58.6,0.0,32.0,1.0,71.4,1.0,0.0,0.0,1.0,0,0,0.2,1
2020,CAB0015,Americas,consortium,6.0,7.0,6898.0,5.0,Panama,216.0,133.6,56.5,0.0,33.0,1.0,73.0,0.0,0.0,1.0,1.0,0,1,0.16666666666666666,1
2021,CAB0015,Americas,consortium,7.0,7.0,6898.0,5.0,Panama,216.0,132.4,60.9,0.0,37.0,1.0,74.6,0.0,1.0,0.0,1.0,0,2,0.14285714285714285,1
2022,CAB0015,Americas,consortium,8.0,7.0,6898.0,5.0,Panama,216.0,161.7,39.0,0.0,37.0,1.0,76.2,1.0,0.0,0.0,1.0,0,0,0.25,1
2023,CAB0015,Americas,consortium,9.0,7.0,6898.0,5.0,Panama,216.0,168.9,93.8,0.0,37.0,1.0,77.8,0.0,0.0,1.0,1.0,0,1,0.2222222222222222,1
2024,CAB0015,Americas,consortium,10.0,7.0,6898.0,5.0,Panama,216.0,165.5,60.6,0.0,39.0,1.0,79.4,0.0,0.0,0.0,1.0,0,2,0.2,1
2025,CAB0015,Americas,consortium,11.0,7.0,6898.0,5.0,Panama,216.0,193.4,79.3,0.0,39.0,1.0,81.0,0.0,0.0,0.0,0.0,0,3,0.18181818181818182,1
2018,CAB0016,Intra-Pacific-Islands,hyperscaler,0.0,21.0,3999.0,6.0,,768.0,186.1,40.8,1.0,30.0,1.0,19.8,0.0,0.0,,0.0,1,99,0.0,0
2019,CAB0016,Intra-Pacific-Islands,hyperscaler,1.0,21.0,3999.0,6.0,,768.0,204.2,20.1,1.0,35.0,1.0,21.4,0.0,0.0,0.0,0.0,1,99,0.0,0
2020,CAB0016,Intra-Pacific-Islands,hyperscaler,2.0,21.0,3999.0,6.0,,768.0,257.4,45.2,1.0,40.0,0.0,3.2,0.0,0.0,0.0,0.0,1,99,0.0,0
2021,CAB0016,Intra-Pacific-Islands,hyperscaler,3.0,21.0,3999.0,6.0,,768.0,267.9,65.0,1.0,41.0,0.0,4.8,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0016,Intra-Pacific-Islands,hyperscaler,4.0,21.0,3999.0,6.0,,768.0,312.9,12.1,1.0,43.0,0.0,6.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0016,Intra-Pacific-Islands,hyperscaler,5.0,21.0,3999.0,6.0,,768.0,447.7,70.0,1.0,45.0,0.0,7.9,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0016,Intra-Pacific-Islands,hyperscaler,6.0,21.0,3999.0,6.0,,768.0,455.8,18.7,1.0,48.0,0.0,9.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2025,CAB0016,Intra-Pacific-Islands,hyperscaler,7.0,21.0,3999.0,6.0,,768.0,507.9,40.8,1.0,50.0,0.0,11.1,0.0,0.0,0.0,0.0,1,99,0.0,1
2016,CAB0017,Indian-Ocean,consortium,0.0,29.0,4184.0,7.0,Suez,977.7,220.9,81.5,1.0,33.0,1.0,47.6,0.0,1.0,,0.0,1,99,0.0,0
2017,CAB0017,Indian-Ocean,consortium,1.0,29.0,4184.0,7.0,Suez,977.7,282.1,53.4,1.0,33.0,1.0,49.2,1.0,0.0,0.0,1.0,0,0,0.5,0
2018,CAB0017,Indian-Ocean,consortium,2.0,29.0,4184.0,7.0,Suez,977.7,298.8,64.9,1.0,35.0,1.0,50.8,0.0,0.0,1.0,1.0,0,1,0.3333333333333333,0
2019,CAB0017,Indian-Ocean,consortium,3.0,29.0,4184.0,7.0,Suez,977.7,461.1,22.3,1.0,35.0,1.0,52.4,0.0,0.0,0.0,1.0,0,2,0.25,1
2020,CAB0017,Indian-Ocean,consortium,4.0,29.0,4184.0,7.0,Suez,977.7,469.7,23.3,1.0,36.0,1.0,54.0,0.0,0.0,0.0,0.0,0,3,0.2,1
2021,CAB0017,Indian-Ocean,consortium,5.0,29.0,4184.0,7.0,Suez,977.7,470.1,68.9,1.0,39.0,1.0,55.6,0.0,0.0,0.0,0.0,0,4,0.16666666666666666,1
2022,CAB0017,Indian-Ocean,consortium,6.0,29.0,4184.0,7.0,Suez,977.7,621.4,39.0,1.0,39.0,1.0,57.1,0.0,0.0,0.0,0.0,0,5,0.14285714285714285,1
2023,CAB0017,Indian-Ocean,consortium,7.0,29.0,4184.0,7.0,Suez,977.7,717.6,39.8,1.0,40.0,0.0,38.9,0.0,0.0,0.0,0.0,0,6,0.125,1
2024,CAB0017,Indian-Ocean,consortium,8.0,29.0,4184.0,7.0,Suez,977.7,745.3,47.5,1.0,41.0,0.0,40.5,0.0,0.0,0.0,0.0,0,7,0.1111111111111111,1
2025,CAB0017,Indian-Ocean,consortium,9.0,29.0,4184.0,7.0,Suez,977.7,667.1,61.7,1.0,44.0,0.0,42.1,0.0,0.0,0.0,0.0,0,8,0.1,1
2015,CAB0018,Trans-Atlantic,consortium,5.0,4.0,6382.0,2.0,,100.6,54.6,40.0,1.0,33.0,1.0,39.7,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0018,Trans-Atlantic,consortium,6.0,4.0,6382.0,2.0,,100.6,59.9,50.4,1.0,37.0,1.0,41.3,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0018,Trans-Atlantic,consortium,7.0,4.0,6382.0,2.0,,100.6,78.8,59.1,1.0,37.0,1.0,42.9,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0018,Trans-Atlantic,consortium,8.0,4.0,6382.0,2.0,,100.6,58.3,51.3,1.0,40.0,0.0,24.6,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0018,Trans-Atlantic,consortium,9.0,4.0,6382.0,2.0,,100.6,85.8,90.7,1.0,45.0,0.0,26.2,0.0,0.0,0.0,0.0,1,99,0.0,1
2020,CAB0018,Trans-Atlantic,consortium,10.0,4.0,6382.0,2.0,,100.6,80.9,70.2,1.0,48.0,0.0,27.8,0.0,0.0,0.0,0.0,1,99,0.0,1
2021,CAB0018,Trans-Atlantic,consortium,11.0,4.0,6382.0,2.0,,100.6,90.5,98.7,1.0,50.0,0.0,29.4,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0018,Trans-Atlantic,consortium,12.0,4.0,6382.0,2.0,,100.6,93.1,68.1,1.0,51.0,0.0,31.0,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0018,Trans-Atlantic,consortium,13.0,4.0,6382.0,2.0,,100.6,100.6,99.9,1.0,54.0,0.0,32.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0018,Trans-Atlantic,consortium,14.0,4.0,6382.0,2.0,,100.6,100.6,58.3,1.0,58.0,0.0,34.1,0.0,0.0,0.0,0.0,1,99,0.0,1
2025,CAB0018,Trans-Atlantic,consortium,15.0,4.0,6382.0,2.0,,100.6,100.6,100.0,1.0,62.0,0.0,35.7,0.0,0.0,0.0,0.0,1,99,0.0,1
2015,CAB0019,Trans-Atlantic,carrier,14.0,2.0,7156.0,5.0,,24.6,24.6,100.0,1.0,33.0,1.0,42.1,0.0,0.0,,0.0,1,99,0.0,0
