cable_id,ocean_route,operator_type,rfs_year,fiber_pairs,length_km,n_landing_countries,chokepoint
CAB0054,Americas,consortium,2008,15,8657.0,6,None
CAB0055,Africa-Coastal,consortium,2007,14,3121.0,6,None
CAB0056,Intra-Pacific-Islands,hyperscaler,2022,34,3179.0,7,None
CAB0057,Indian-Ocean,carrier,2008,15,4247.0,2,None
CAB0058,Intra-Pacific-Islands,government,2000,2,1292.0,5,None
CAB0059,Intra-Asia,carrier,2003,4,4946.0,7,None
CAB0060,Intra-Europe,carrier,2013,13,2415.0,4,None
CAB0061,Intra-Pacific-Islands,consortium,2020,22,3782.0,5,None
CAB0062,EMEA-Asia,consortium,2002,5,18333.0,5,None
CAB0063,Trans-Atlantic,hyperscaler,2021,34,6695.0,5,None
CAB0064,Trans-Pacific,consortium,2013,18,10138.0,3,None
CAB0065,Intra-Asia,hyperscaler,2015,14,3160.0,6,None
CAB0066,Intra-Pacific-Islands,carrier,2025,6,3650.0,4,None
CAB0067,Intra-Pacific-Islands,hyperscaler,2006,7,2230.0,4,None
CAB0068,EMEA-Asia,hyperscaler,2024,18,9897.0,6,Malacca
CAB0069,EMEA-Asia,consortium,2016,9,10339.0,4,None
CAB0070,EMEA-Asia,consortium,2020,16,15528.0,8,None
CAB0071,Indian-Ocean,government,2018,7,8758.0,3,None
CAB0072,Africa-Coastal,consortium,2025,12,4689.0,3,None
CAB0073,Intra-Asia,carrier,2005,3,2294.0,8,None
CAB0074,Trans-Pacific,carrier,1999,5,10730.0,6,None
CAB0075,Intra-Pacific-Islands,government,2012,8,1975.0,2,None
CAB0076,Americas,consortium,2019,16,4651.0,6,Panama
CAB0077,Africa-Coastal,carrier,2009,5,5748.0,10,None
CAB0078,Intra-Pacific-Islands,carrier,2020,11,995.0,5,None
CAB0079,Indian-Ocean,government,2025,6,10371.0,6,None
CAB0080,Intra-Asia,hyperscaler,2010,8,2797.0,4,None
CAB0081,Intra-Asia,consortium,2002,5,4080.0,6,None
CAB0082,Trans-Atlantic,consortium,2005,3,5456.0,5,None
CAB0083,Trans-Pacific,consortium,2016,7,11906.0,4,None
CAB0084,Americas,hyperscaler,1999,5,6855.0,4,Panama
CAB0085,Intra-Europe,hyperscaler,2008,3,1320.0,7,None
CAB0086,Intra-Asia,carrier,2009,5,6821.0,3,None
CAB0087,Intra-Asia,carrier,2004,4,3334.0,4,None
CAB0088,Africa-Coastal,carrier,2007,22,4372.0,3,None
CAB0089,EMEA-Asia,carrier,2012,17,9977.0,3,Hormuz
CAB0090,Trans-Atlantic,consortium,2016,9,6451.0,6,None
CAB0091,Indian-Ocean,government,2012,17,4616.0,8,None
CAB0092,Intra-Asia,carrier,2024,18,3179.0,3,None
CAB0093,Intra-Pacific-Islands,hyperscaler,2000,8,2060.0,5,None
CAB0094,Indian-Ocean,consortium,2006,10,10601.0,7,None
CAB0095,Africa-Coastal,consortium,2017,20,7843.0,6,None
CAB0096,Trans-Atlantic,carrier,2025,37,7020.0,4,None
CAB0097,EMEA-Asia,hyperscaler,2018,21,12067.0,6,Suez
CAB0098,Intra-Europe,carrier,2001,2,1385.0,5,None
CAB0099,Trans-Pacific,carrier,2005,6,10716.0,5,None
CAB0100,Intra-Asia,hyperscaler,2012,8,3537.0,5,None
CAB0101,Africa-Coastal,carrier,1999,5,6069.0,9,None
CAB0102,EMEA-Asia,carrier,1998,4,13754.0,6,Malacca
CAB0103,Indian-Ocean,hyperscaler,2013,27,6774.0,2,None
CAB0104,Intra-Pacific-Islands,carrier,2006,3,3843.0,5,None
CAB0105,Indian-Ocean,consortium,2025,6,11696.0,4,None
CAB0106,Americas,carrier,2018,21,5371.0,3,None
CAB0107,Africa-Coastal,hyperscaler,2012,4,7718.0,6,None
CAB0108,Intra-Asia,consortium,2024,9,6120.0,6,None
CAB0109,Intra-Pacific-Islands,consortium,2019,16,2522.0,5,None
CAB0110,Intra-Asia,consortium,2000,5,2860.0,5,None
CAB0111,Americas,carrier,2025,6,6012.0,4,None
CAB0112,Africa-Coastal,consortium,2012,17,14941.0,7,None
CAB0113,Intra-Asia,consortium,2017,46,6806.0,3,Luzon-Strait
CAB0114,Intra-Asia,consortium,2005,3,5905.0,4,None
CAB0115,Americas,consortium,1998,14,4341.0,7,Panama
CAB0116,Trans-Atlantic,consortium,2026,6,6514.0,3,None
CAB0117,Trans-Pacific,carrier,2012,26,13668.0,7,None
CAB0118,EMEA-Asia,carrier,2020,11,17677.0,7,Bab-el-Mandeb
CAB0119,Intra-Europe,carrier,2005,10,2132.0,4,None
CAB0120,Americas,hyperscaler,1999,2,3240.0,3,Panama
CAB0121,Americas,government,1998,7,4904.0,4,None
CAB0122,Trans-Pacific,carrier,2018,21,9248.0,6,None
CAB0123,EMEA-Asia,carrier,2005,30,15488.0,4,None
CAB0124,Americas,consortium,2024,24,3130.0,3,None
CAB0125,Africa-Coastal,hyperscaler,2025,25,3729.0,3,None
CAB0126,Trans-Pacific,hyperscaler,2019,32,11075.0,7,None
CAB0127,Intra-Pacific-Islands,consortium,2007,11,2352.0,4,None
CAB0128,Trans-Pacific,consortium,1998,3,11486.0,5,None
CAB0129,Intra-Asia,consortium,2016,29,2599.0,4,Luzon-Strait
CAB0130,Intra-Asia,consortium,2016,4,3192.0,10,None
CAB0131,Intra-Asia,consortium,2001,16,6055.0,6,None
CAB0132,Africa-Coastal,carrier,2000,2,7442.0,3,None
CAB0133,Trans-Atlantic,carrier,2023,5,7322.0,4,None
CAB0134,Americas,hyperscaler,2021,34,7501.0,4,None
CAB0135,Indian-Ocean,government,2010,12,9258.0,4,Malacca
CAB0136,Trans-Atlantic,government,2000,10,6685.0,4,None
CAB0137,Trans-Atlantic,hyperscaler,2026,6,6496.0,8,None
CAB0138,Intra-Asia,carrier,2003,12,5412.0,9,Luzon-Strait
CAB0139,Intra-Pacific-Islands,consortium,2024,48,2596.0,4,None
CAB0140,Trans-Atlantic,hyperscaler,2026,12,5469.0,4,None
CAB0141,Trans-Pacific,hyperscaler,2016,4,10453.0,5,None
CAB0142,EMEA-Asia,consortium,2000,4,14981.0,4,Bab-el-Mandeb
CAB0143,Indian-Ocean,government,1998,14,11128.0,4,Malacca
CAB0144,Indian-Ocean,government,2020,33,6902.0,6,Malacca
CAB0145,Intra-Europe,consortium,2000,2,1840.0,9,None
CAB0146,Africa-Coastal,consortium,2007,3,6237.0,3,None
CAB0147,Intra-Europe,hyperscaler,2002,8,1101.0,3,None
CAB0148,Intra-Asia,carrier,2009,23,4190.0,6,None
CAB0149,Indian-Ocean,hyperscaler,2001,4,10493.0,3,Suez
CAB0150,Trans-Atlantic,carrier,2013,27,7476.0,6,None
CAB0151,Indian-Ocean,government,2006,14,9685.0,5,None
CAB0152,Intra-Asia,consortium,1998,14,2231.0,4,Malacca
CAB0153,Intra-Pacific-Islands,consortium,2000,4,3034.0,7,None
CAB0154,Intra-Asia,consortium,2003,4,4924.0,4,Luzon-Strait
CAB0155,Indian-Ocean,carrier,1999,10,9410.0,4,Suez
CAB0156,Trans-Pacific,government,2007,5,11577.0,4,None
CAB0157,Intra-Europe,consortium,2000,5,2429.0,4,None
CAB0158,EMEA-Asia,hyperscaler,2002,8,15647.0,5,None
CAB0159,Intra-Pacific-Islands,consortium,1999,3,3754.0,5,None
CAB0160,Intra-Asia,hyperscaler,2008,5,3829.0,8,None
CAB0161,Intra-Asia,consortium,2026,38,5128.0,6,Malacca
CAB0162,Intra-Pacific-Islands,government,2016,7,845.0,4,None
CAB0163,Intra-Pacific-Islands,government,2025,25,191.0,5,None
CAB0164,Trans-Pacific,consortium,2008,7,14668.0,4,None
CAB0165,Intra-Asia,consortium,2012,4,2886.0,7,None
CAB0166,Intra-Europe,consortium,2023,11,2164.0,4,None
CAB0167,Africa-Coastal,consortium,1998,3,10859.0,5,None
CAB0168,Intra-Pacific-Islands,carrier,2019,21,2572.0,6,None
CAB0169,Indian-Ocean,government,2004,6,4630.0,5,None
CAB0170,Trans-Atlantic,consortium,2015,4,6489.0,3,None
CAB0171,Trans-Atlantic,consortium,2024,48,6800.0,9,None
CAB0172,EMEA-Asia,carrier,2018,7,8219.0,3,None
CAB0173,Trans-Pacific,consortium,2009,5,11018.0,7,None
CAB0174,Trans-Pacific,hyperscaler,2020,11,14421.0,5,None
CAB0175,Intra-Europe,consortium,2011,6,2749.0,4,None
CAB0176,Trans-Pacific,consortium,2014,7,11224.0,2,None
CAB0177,Intra-Asia,hyperscaler,2007,14,2944.0,4,Taiwan-Strait
CAB0178,Intra-Pacific-Islands,carrier,2023,23,851.0,4,None
CAB0179,Americas,carrier,2009,5,7686.0,7,None
CAB0180,EMEA-Asia,hyperscaler,2003,12,17190.0,8,Malacca
CAB0181,Trans-Pacific,hyperscaler,2023,17,10976.0,4,None
CAB0182,EMEA-Asia,carrier,1999,2,17701.0,7,Hormuz
CAB0183,EMEA-Asia,consortium,2019,48,12923.0,6,Suez
CAB0184,Intra-Europe,consortium,2022,8,1892.0,6,None
CAB0185,EMEA-Asia,hyperscaler,2019,8,8064.0,5,Malacca
CAB0186,Intra-Europe,government,2011,6,1537.0,3,None
CAB0187,Trans-Pacific,hyperscaler,2014,14,13086.0,5,None
CAB0188,Africa-Coastal,hyperscaler,2007,22,10594.0,2,None
CAB0189,Intra-Pacific-Islands,consortium,2019,8,2875.0,2,None
CAB0190,Africa-Coastal,consortium,2019,10,10526.0,4,None
CAB0191,Intra-Asia,consortium,2024,9,6384.0,4,None
CAB0192,Trans-Atlantic,carrier,2001,5,7245.0,4,None
CAB0193,Intra-Europe,carrier,2025,18,1167.0,5,None
CAB0194,Intra-Pacific-Islands,carrier,2009,7,506.0,4,None
CAB0195,Indian-Ocean,consortium,2001,8,10027.0,4,Bab-el-Mandeb
CAB0196,Trans-Atlantic,carrier,2001,8,6219.0,3,None
CAB0197,Trans-Atlantic,consortium,2024,9,5720.0,3,None
CAB0198,Trans-Atlantic,hyperscaler,2010,24,7324.0,6,None
CAB0199,Trans-Atlantic,consortium,2006,7,5687.0,4,None
CAB0200,EMEA-Asia,carrier,2013,6,11299.0,3,None
CAB0201,Indian-Ocean,carrier,2023,17,4013.0,5,Bab-el-Mandeb
CAB0202,Intra-Asia,hyperscaler,2008,3,5120.0,6,None
CAB0203,Africa-Coastal,hyperscaler,2001,16,11761.0,3,None
CAB0204,Intra-Asia,consortium,2020,8,2240.0,2,Luzon-Strait
CAB0205,Indian-Ocean,consortium,2007,7,7556.0,6,Suez
CAB0206,Trans-Atlantic,carrier,2016,4,5927.0,6,None
CAB0207,Americas,consortium,2000,16,2194.0,8,Panama
CAB0208,Americas,consortium,2016,19,2781.0,4,None
CAB0209,Africa-Coastal,consortium,2019,8,14104.0,6,None
CAB0210,Trans-Atlantic,hyperscaler,2004,4,6847.0,5,None
CAB0211,EMEA-Asia,hyperscaler,2021,8,14185.0,6,Hormuz
CAB0212,Intra-Europe,carrier,2014,9,2376.0,7,None
CAB0213,Trans-Pacific,government,2004,19,13864.0,3,None
CAB0214,Intra-Pacific-Islands,hyperscaler,2004,29,1615.0,4,None
CAB0215,Intra-Pacific-Islands,consortium,2007,5,2636.0,2,None
CAB0216,Trans-Atlantic,consortium,2025,25,7065.0,5,None
CAB0217,Indian-Ocean,carrier,2011,12,5251.0,4,None
CAB0218,Intra-Europe,hyperscaler,2024,6,1898.0,8,None
CAB0219,Indian-Ocean,consortium,1998,3,10198.0,6,Suez
CAB0220,Trans-Atlantic,consortium,2021,11,5750.0,4,None
CAB0221,Intra-Asia,consortium,2014,7,5834.0,9,None
CAB0222,Trans-Pacific,government,2004,9,12908.0,5,None
CAB0223,Intra-Asia,government,2001,2,5761.0,6,Luzon-Strait
CAB0224,Trans-Atlantic,consortium,2008,7,7196.0,7,None
CAB0225,Intra-Europe,government,2005,30,775.0,3,None
CAB0226,Intra-Asia,consortium,2015,14,3487.0,4,None
CAB0227,Intra-Asia,consortium,2012,39,1735.0,3,Luzon-Strait
CAB0228,Africa-Coastal,hyperscaler,2001,2,12306.0,6,None
CAB0229,EMEA-Asia,consortium,2014,4,18652.0,4,Suez
CAB0230,Intra-Pacific-Islands,carrier,2020,8,2573.0,5,None
CAB0231,Americas,consortium,2008,22,5466.0,4,None
CAB0232,Indian-Ocean,consortium,2011,12,5487.0,7,None
CAB0233,Trans-Pacific,hyperscaler,2004,6,10577.0,4,None
CAB0234,Trans-Atlantic,carrier,2014,7,5200.0,6,None
CAB0235,Intra-Pacific-Islands,consortium,2005,13,266.0,2,None
CAB0236,Trans-Atlantic,consortium,2023,5,5892.0,6,None
CAB0237,Trans-Atlantic,consortium,2020,33,5519.0,8,None
CAB0238,Africa-Coastal,consortium,2005,3,10096.0,6,None
CAB0239,Intra-Asia,carrier,2010,4,2524.0,3,Malacca
CAB0240,EMEA-Asia,carrier,2001,2,12820.0,7,Suez
CAB0241,Americas,carrier,2008,5,6875.0,4,None
CAB0242,Indian-Ocean,carrier,2009,15,10273.0,4,None
CAB0243,Intra-Europe,carrier,2017,10,2939.0,9,None
CAB0244,Trans-Pacific,carrier,2010,6,9341.0,7,None
CAB0245,Africa-Coastal,consortium,2015,14,8315.0,6,None
CAB0246,Intra-Asia,carrier,2019,8,4148.0,5,Taiwan-Strait
CAB0247,Intra-Asia,consortium,2007,11,6643.0,4,None
CAB0248,Trans-Atlantic,hyperscaler,2020,16,6628.0,4,None
CAB0249,Intra-Pacific-Islands,carrier,2002,26,2539.0,2,None
CAB0250,Intra-Europe,consortium,2020,5,1825.0,5,None
CAB0251,Intra-Europe,consortium,2014,42,2571.0,5,None
CAB0252,Africa-Coastal,carrier,2008,34,10369.0,6,None
CAB0253,Trans-Pacific,consortium,2010,6,12489.0,9,None
CAB0254,Trans-Pacific,carrier,2007,14,14822.0,5,None
CAB0255,Intra-Europe,consortium,2025,12,2199.0,5,None
CAB0256,Intra-Asia,hyperscaler,2008,22,3060.0,5,None
CAB0257,EMEA-Asia,government,2017,20,19122.0,9,Suez
CAB0258,Indian-Ocean,carrier,2010,4,11240.0,6,Bab-el-Mandeb
CAB0259,Trans-Atlantic,consortium,2018,5,6951.0,7,None
CAB0260,Africa-Coastal,government,1999,2,13904.0,4,None
CAB0261,Africa-Coastal,consortium,2017,20,6256.0,3,None
CAB0262,Africa-Coastal,carrier,2015,14,3724.0,4,None
CAB0263,Americas,carrier,2008,5,3976.0,5,None
CAB0264,Trans-Atlantic,carrier,2024,6,7219.0,6,None
CAB0265,Trans-Atlantic,carrier,2000,10,5104.0,9,None
CAB0266,Africa-Coastal,consortium,2007,5,9029.0,3,None
CAB0267,Intra-Pacific-Islands,carrier,2020,8,2327.0,8,None
CAB0268,Trans-Atlantic,consortium,2011,25,5530.0,2,None
CAB0269,Trans-Atlantic,consortium,2004,19,6711.0,11,None
CAB0270,Americas,carrier,2004,19,8750.0,7,None
CAB0271,Intra-Asia,government,2015,28,6875.0,4,None
CAB0272,Americas,hyperscaler,2003,12,4089.0,2,Panama
CAB0273,Intra-Asia,carrier,2020,5,4232.0,4,Luzon-Strait
CAB0274,Intra-Pacific-Islands,consortium,2023,23,2049.0,7,None
CAB0275,Intra-Asia,consortium,2001,5,6251.0,3,None
CAB0276,Intra-Asia,hyperscaler,1998,2,2804.0,4,None
CAB0277,Americas,consortium,2002,5,4155.0,5,Panama
CAB0278,Intra-Europe,consortium,2000,2,487.0,5,None
CAB0279,Indian-Ocean,hyperscaler,2026,25,4544.0,5,Suez
CAB0280,Trans-Pacific,consortium,2007,14,13092.0,9,None
CAB0281,Indian-Ocean,carrier,1999,3,12717.0,4,None
CAB0282,Trans-Atlantic,government,2025,9,5277.0,4,None
CAB0283,Intra-Pacific-Islands,carrier,2009,15,3633.0,6,None
CAB0284,Indian-Ocean,consortium,2025,48,11564.0,2,None
CAB0285,Africa-Coastal,consortium,2025,25,7709.0,5,None
CAB0286,Africa-Coastal,hyperscaler,2026,25,13581.0,3,None
CAB0287,Trans-Pacific,consortium,2007,14,12004.0,3,None
CAB0288,Intra-Europe,government,2026,19,2284.0,3,None
CAB0289,Intra-Pacific-Islands,hyperscaler,2012,8,1579.0,3,None
CAB0290,Africa-Coastal,carrier,2020,11,5740.0,6,None
CAB0291,Intra-Europe,hyperscaler,2026,6,1689.0,5,None
CAB0292,Africa-Coastal,hyperscaler,2016,4,3667.0,4,None
CAB0293,Intra-Europe,government,2019,48,1013.0,5,None
CAB0294,EMEA-Asia,hyperscaler,2001,5,17896.0,5,Bab-el-Mandeb
CAB0295,Trans-Pacific,carrier,2003,28,10145.0,8,None
CAB0296,Indian-Ocean,hyperscaler,2005,13,8916.0,7,None
CAB0297,Intra-Europe,consortium,2019,10,741.0,6,None
CAB0298,Africa-Coastal,hyperscaler,2002,4,11243.0,5,None
CAB0299,EMEA-Asia,government,2017,10,12414.0,2,None
CAB0300,Intra-Europe,consortium,2018,5,1637.0,2,None
CAB0301,Intra-Europe,consortium,2001,4,309.0,6,None
CAB0302,Intra-Asia,carrier,2000,16,4495.0,6,None
CAB0303,Trans-Pacific,carrier,2024,18,13579.0,5,None
CAB0304,Trans-Atlantic,hyperscaler,2023,23,7457.0,4,None
CAB0305,Africa-Coastal,consortium,2010,12,5931.0,9,None
CAB0306,Intra-Europe,carrier,2013,40,2410.0,6,None
CAB0307,Americas,hyperscaler,2014,7,6252.0,4,None
CAB0308,Trans-Atlantic,carrier,2024,48,5687.0,4,None
CAB0309,EMEA-Asia,consortium,2014,7,16635.0,6,Hormuz
CAB0310,Americas,carrier,2020,22,5575.0,6,None
CAB0311,Trans-Atlantic,carrier,2008,7,7196.0,5,None
CAB0312,Intra-Europe,hyperscaler,2022,48,2490.0,6,None
CAB0313,Indian-Ocean,carrier,2021,22,11310.0,5,None
CAB0314,Africa-Coastal,consortium,2001,25,6052.0,5,None
CAB0315,Intra-Pacific-Islands,consortium,2019,5,978.0,2,None
CAB0316,Intra-Asia,hyperscaler,2013,18,4487.0,3,Luzon-Strait
CAB0317,Intra-Europe,government,1998,14,2350.0,4,None
CAB0318,Intra-Asia,government,2013,18,2072.0,4,Luzon-Strait
CAB0319,Intra-Europe,government,2005,10,2998.0,4,None
CAB0320,EMEA-Asia,hyperscaler,2007,3,11542.0,6,Bab-el-Mandeb
CAB0321,Intra-Pacific-Islands,consortium,2012,8,324.0,2,None
CAB0322,EMEA-Asia,consortium,2014,14,14057.0,3,Bab-el-Mandeb
CAB0323,Trans-Pacific,hyperscaler,2019,21,14093.0,6,None
CAB0324,Intra-Europe,carrier,2017,7,2951.0,7,None
CAB0325,Trans-Pacific,consortium,2006,3,9414.0,2,None
CAB0326,Trans-Pacific,consortium,1999,5,10979.0,4,None
CAB0327,Trans-Pacific,carrier,2024,12,11143.0,7,None
CAB0328,EMEA-Asia,hyperscaler,2026,25,15629.0,2,Bab-el-Mandeb
CAB0329,Intra-Europe,consortium,2014,9,1659.0,3,None
CAB0330,Intra-Pacific-Islands,carrier,2013,4,3950.0,6,None
CAB0331,Africa-Coastal,carrier,2023,11,5015.0,7,None
CAB0332,Intra-Asia,carrier,2021,17,3274.0,5,None
CAB0333,Intra-Asia,consortium,2002,8,2813.0,7,Taiwan-Strait
CAB0334,Intra-Europe,consortium,2002,5,496.0,2,None
CAB0335,Trans-Atlantic,hyperscaler,2006,3,6062.0,3,None
CAB0336,Indian-Ocean,carrier,2007,22,7411.0,3,None
CAB0337,Trans-Atlantic,hyperscaler,2001,4,5781.0,5,None
CAB0338,Intra-Asia,hyperscaler,2009,15,6778.0,4,None
CAB0339,EMEA-Asia,hyperscaler,2012,4,18537.0,9,Bab-el-Mandeb
CAB0340,Trans-Atlantic,consortium,1998,21,5749.0,4,None
CAB0341,Intra-Pacific-Islands,consortium,2025,9,1788.0,2,None
CAB0342,Indian-Ocean,carrier,2010,6,10453.0,5,None
CAB0343,Intra-Asia,consortium,2002,17,3213.0,4,None
CAB0344,Trans-Pacific,carrier,2002,8,10878.0,7,None
CAB0345,Americas,carrier,2004,19,7213.0,5,None
CAB0346,Americas,consortium,2004,3,6614.0,2,None
CAB0347,Indian-Ocean,carrier,2024,6,7716.0,3,Malacca
CAB0348,Intra-Asia,consortium,2026,19,4448.0,5,Taiwan-Strait
CAB0349,Americas,hyperscaler,2007,22,5379.0,3,None
CAB0350,EMEA-Asia,hyperscaler,2000,2,18233.0,6,None
CAB0351,Trans-Pacific,consortium,2017,20,11297.0,5,None
CAB0352,Trans-Pacific,hyperscaler,2002,17,11798.0,3,None
CAB0353,EMEA-Asia,government,2012,17,16358.0,5,Hormuz
CAB0354,Trans-Pacific,consortium,2002,5,11614.0,6,None
CAB0355,Americas,carrier,2006,7,3724.0,4,None
CAB0356,Trans-Atlantic,consortium,2019,8,6074.0,4,None
CAB0357,Intra-Europe,carrier,2005,30,1834.0,3,None
CAB0358,Intra-Asia,carrier,2011,25,5561.0,7,None
CAB0359,Africa-Coastal,hyperscaler,2000,2,11523.0,5,None
CAB0360,Africa-Coastal,consortium,2003,6,8624.0,7,None
CAB0361,Trans-Pacific,consortium,2001,8,14154.0,4,None
CAB0362,Americas,carrier,2008,5,2295.0,6,Panama
CAB0363,Indian-Ocean,carrier,2015,4,4915.0,2,None
CAB0364,Indian-Ocean,carrier,2016,14,11470.0,7,Suez
CAB0365,Africa-Coastal,hyperscaler,2004,9,15010.0,5,None
CAB0366,Intra-Asia,consortium,2022,34,6141.0,5,None
CAB0367,Intra-Asia,hyperscaler,2018,10,3485.0,2,None
CAB0368,Intra-Europe,hyperscaler,2000,2,2609.0,6,None
CAB0369,Intra-Pacific-Islands,carrier,2022,8,3302.0,5,None
CAB0370,Intra-Asia,carrier,2003,12,3543.0,4,Malacca
CAB0371,Intra-Asia,consortium,2005,3,3748.0,5,Taiwan-Strait
CAB0372,Intra-Europe,government,2002,11,1542.0,5,None
CAB0373,Intra-Asia,carrier,2016,14,3300.0,6,None
CAB0374,Africa-Coastal,consortium,2017,20,4988.0,6,None
CAB0375,Intra-Asia,consortium,2025,48,6556.0,10,Taiwan-Strait
CAB0376,Intra-Europe,carrier,1999,2,579.0,4,None
CAB0377,EMEA-Asia,consortium,2014,4,10438.0,3,None
CAB0378,Indian-Ocean,carrier,2021,8,9403.0,4,Malacca
CAB0379,Indian-Ocean,consortium,2009,7,6044.0,3,Bab-el-Mandeb
CAB0380,Intra-Asia,consortium,2024,24,5230.0,4,Taiwan-Strait
CAB0381,Trans-Pacific,consortium,2009,3,11882.0,3,None
CAB0382,Africa-Coastal,consortium,2013,9,9099.0,2,None
CAB0383,Trans-Atlantic,consortium,2010,16,7326.0,2,None
CAB0384,Trans-Atlantic,consortium,2016,7,5041.0,3,None
CAB0385,Intra-Europe,consortium,2008,15,2629.0,10,None
CAB0386,EMEA-Asia,consortium,2023,11,10366.0,5,Suez
CAB0387,Indian-Ocean,hyperscaler,2018,21,10736.0,7,None
CAB0388,Indian-Ocean,consortium,2012,13,12946.0,9,Suez
CAB0389,Intra-Asia,consortium,2001,8,2936.0,7,Malacca
CAB0390,Indian-Ocean,hyperscaler,2013,27,9180.0,2,None
CAB0391,EMEA-Asia,hyperscaler,2003,12,16405.0,5,None
CAB0392,EMEA-Asia,consortium,1999,2,11717.0,7,None
CAB0393,Trans-Pacific,carrier,2010,8,14258.0,5,None
CAB0394,EMEA-Asia,hyperscaler,2022,8,17095.0,3,None
CAB0395,Americas,consortium,2021,8,5776.0,3,None
CAB0396,Trans-Atlantic,consortium,2019,16,6550.0,7,None
CAB0397,Intra-Europe,consortium,2002,2,1028.0,11,None
CAB0398,Intra-Pacific-Islands,hyperscaler,2015,14,2508.0,4,None
CAB0399,Americas,consortium,2002,17,2541.0,7,None
CAB0400,Intra-Asia,hyperscaler,2000,2,5961.0,4,Luzon-Strait
CAB0401,Intra-Asia,consortium,2025,12,1650.0,3,None
CAB0402,Intra-Asia,government,2010,4,4409.0,7,Luzon-Strait
CAB0403,Intra-Europe,consortium,2004,3,1646.0,7,None
CAB0404,Americas,government,2009,11,2788.0,7,Panama
CAB0405,Africa-Coastal,hyperscaler,2002,17,10177.0,6,None
