year,cable_id,ocean_route,operator_type,rfs_year,age_years,fiber_pairs,length_km,n_landing_countries,chokepoint,design_capacity_tbps,lit_capacity_tbps,utilization_pct,protected_burial,design_life_years,route_redundancy,is_low_redundancy,vulnerability_index,fault_cause,fault_this_year,fault_next_year
2020,CAB0014,Intra-Pacific-Islands,carrier,2013,7,18,3848.0,6,None,529.7,360.5,75.5,1,25,40,0,11.1,fishing_anchor,1,0.0
2021,CAB0014,Intra-Pacific-Islands,carrier,2013,8,18,3848.0,6,None,529.7,387.7,63.5,1,25,41,0,12.7,none,0,0.0
2022,CAB0014,Intra-Pacific-Islands,carrier,2013,9,18,3848.0,6,None,529.7,424.3,39.1,1,25,43,0,14.3,none,0,0.0
2023,CAB0014,Intra-Pacific-Islands,carrier,2013,10,18,3848.0,6,None,529.7,447.3,57.7,1,25,45,0,15.9,none,0,0.0
2024,CAB0014,Intra-Pacific-Islands,carrier,2013,11,18,3848.0,6,None,529.7,486.7,55.0,1,25,48,0,17.5,none,0,1.0
2025,CAB0014,Intra-Pacific-Islands,carrier,2013,12,18,3848.0,6,None,529.7,528.3,39.7,1,25,50,0,19.0,fishing_anchor,1,0.0
2026,CAB0014,Intra-Pacific-Islands,carrier,2013,13,18,3848.0,6,None,529.7,495.5,52.1,1,25,51,0,20.6,none,0,
2015,CAB0015,Americas,consortium,2014,1,7,6898.0,5,Panama,216.0,55.8,24.2,0,25,28,1,65.1,none,0,0.0
2016,CAB0015,Americas,consortium,2014,2,7,6898.0,5,Panama,216.0,77.6,63.8,0,25,29,1,66.7,none,0,0.0
2017,CAB0015,Americas,consortium,2014,3,7,6898.0,5,Panama,216.0,93.4,24.7,0,25,29,1,68.3,none,0,0.0
2018,CAB0015,Americas,consortium,2014,4,7,6898.0,5,Panama,216.0,105.1,45.1,0,25,31,1,69.8,none,0,1.0
2019,CAB0015,Americas,consortium,2014,5,7,6898.0,5,Panama,216.0,122.7,58.6,0,25,32,1,71.4,fishing_anchor,1,0.0
2020,CAB0015,Americas,consortium,2014,6,7,6898.0,5,Panama,216.0,133.6,56.5,0,25,33,1,73.0,none,0,0.0
2021,CAB0015,Americas,consortium,2014,7,7,6898.0,5,Panama,216.0,132.4,60.9,0,25,37,1,74.6,none,0,1.0
2022,CAB0015,Americas,consortium,2014,8,7,6898.0,5,Panama,216.0,161.7,39.0,0,25,37,1,76.2,fishing_anchor,1,0.0
2023,CAB0015,Americas,consortium,2014,9,7,6898.0,5,Panama,216.0,168.9,93.8,0,25,37,1,77.8,none,0,0.0
2024,CAB0015,Americas,consortium,2014,10,7,6898.0,5,Panama,216.0,165.5,60.6,0,25,39,1,79.4,none,0,0.0
2025,CAB0015,Americas,consortium,2014,11,7,6898.0,5,Panama,216.0,193.4,79.3,0,25,39,1,81.0,none,0,0.0
2026,CAB0015,Americas,consortium,2014,12,7,6898.0,5,Panama,216.0,216.0,81.6,0,25,40,0,62.7,none,0,
2018,CAB0016,Intra-Pacific-Islands,hyperscaler,2018,0,21,3999.0,6,None,768.0,186.1,40.8,1,25,30,1,19.8,none,0,0.0
2019,CAB0016,Intra-Pacific-Islands,hyperscaler,2018,1,21,3999.0,6,None,768.0,204.2,20.1,1,25,35,1,21.4,none,0,0.0
2020,CAB0016,Intra-Pacific-Islands,hyperscaler,2018,2,21,3999.0,6,None,768.0,257.4,45.2,1,25,40,0,3.2,none,0,0.0
2021,CAB0016,Intra-Pacific-Islands,hyperscaler,2018,3,21,3999.0,6,None,768.0,267.9,65.0,1,25,41,0,4.8,none,0,0.0
2022,CAB0016,Intra-Pacific-Islands,hyperscaler,2018,4,21,3999.0,6,None,768.0,312.9,12.1,1,25,43,0,6.3,none,0,0.0
2023,CAB0016,Intra-Pacific-Islands,hyperscaler,2018,5,21,3999.0,6,None,768.0,447.7,70.0,1,25,45,0,7.9,none,0,0.0
2024,CAB0016,Intra-Pacific-Islands,hyperscaler,2018,6,21,3999.0,6,None,768.0,455.8,18.7,1,25,48,0,9.5,none,0,0.0
2025,CAB0016,Intra-Pacific-Islands,hyperscaler,2018,7,21,3999.0,6,None,768.0,507.9,40.8,1,25,50,0,11.1,none,0,0.0
2026,CAB0016,Intra-Pacific-Islands,hyperscaler,2018,8,21,3999.0,6,None,768.0,576.5,37.5,1,25,51,0,12.7,none,0,
2016,CAB0017,Indian-Ocean,consortium,2016,0,29,4184.0,7,Suez,977.7,220.9,81.5,1,25,33,1,47.6,none,0,1.0
2017,CAB0017,Indian-Ocean,consortium,2016,1,29,4184.0,7,Suez,977.7,282.1,53.4,1,25,33,1,49.2,fishing_anchor,1,0.0
2018,CAB0017,Indian-Ocean,consortium,2016,2,29,4184.0,7,Suez,977.7,298.8,64.9,1,25,35,1,50.8,none,0,0.0
2019,CAB0017,Indian-Ocean,consortium,2016,3,29,4184.0,7,Suez,977.7,461.1,22.3,1,25,35,1,52.4,none,0,0.0
2020,CAB0017,Indian-Ocean,consortium,2016,4,29,4184.0,7,Suez,977.7,469.7,23.3,1,25,36,1,54.0,none,0,0.0
2021,CAB0017,Indian-Ocean,consortium,2016,5,29,4184.0,7,Suez,977.7,470.1,68.9,1,25,39,1,55.6,none,0,0.0
2022,CAB0017,Indian-Ocean,consortium,2016,6,29,4184.0,7,Suez,977.7,621.4,39.0,1,25,39,1,57.1,none,0,0.0
2023,CAB0017,Indian-Ocean,consortium,2016,7,29,4184.0,7,Suez,977.7,717.6,39.8,1,25,40,0,38.9,none,0,0.0
2024,CAB0017,Indian-Ocean,consortium,2016,8,29,4184.0,7,Suez,977.7,745.3,47.5,1,25,41,0,40.5,none,0,0.0
2025,CAB0017,Indian-Ocean,consortium,2016,9,29,4184.0,7,Suez,977.7,667.1,61.7,1,25,44,0,42.1,none,0,0.0
2026,CAB0017,Indian-Ocean,consortium,2016,10,29,4184.0,7,Suez,977.7,880.5,30.5,1,25,43,0,43.7,none,0,
2015,CAB0018,Trans-Atlantic,consortium,2010,5,4,6382.0,2,None,100.6,54.6,40.0,1,25,33,1,39.7,none,0,0.0
2016,CAB0018,Trans-Atlantic,consortium,2010,6,4,6382.0,2,None,100.6,59.9,50.4,1,25,37,1,41.3,none,0,0.0
2017,CAB0018,Trans-Atlantic,consortium,2010,7,4,6382.0,2,None,100.6,78.8,59.1,1,25,37,1,42.9,none,0,0.0
2018,CAB0018,Trans-Atlantic,consortium,2010,8,4,6382.0,2,None,100.6,58.3,51.3,1,25,40,0,24.6,none,0,0.0
2019,CAB0018,Trans-Atlantic,consortium,2010,9,4,6382.0,2,None,100.6,85.8,90.7,1,25,45,0,26.2,none,0,0.0
2020,CAB0018,Trans-Atlantic,consortium,2010,10,4,6382.0,2,None,100.6,80.9,70.2,1,25,48,0,27.8,none,0,0.0
2021,CAB0018,Trans-Atlantic,consortium,2010,11,4,6382.0,2,None,100.6,90.5,98.7,1,25,50,0,29.4,none,0,0.0
2022,CAB0018,Trans-Atlantic,consortium,2010,12,4,6382.0,2,None,100.6,93.1,68.1,1,25,51,0,31.0,none,0,0.0
2023,CAB0018,Trans-Atlantic,consortium,2010,13,4,6382.0,2,None,100.6,100.6,99.9,1,25,54,0,32.5,none,0,0.0
2024,CAB0018,Trans-Atlantic,consortium,2010,14,4,6382.0,2,None,100.6,100.6,58.3,1,25,58,0,34.1,none,0,0.0
2025,CAB0018,Trans-Atlantic,consortium,2010,15,4,6382.0,2,None,100.6,100.6,100.0,1,25,62,0,35.7,none,0,0.0
2026,CAB0018,Trans-Atlantic,consortium,2010,16,4,6382.0,2,None,100.6,100.6,55.5,1,25,63,0,37.3,none,0,
2015,CAB0019,Trans-Atlantic,carrier,2001,14,2,7156.0,5,None,24.6,24.6,100.0,1,25,33,1,42.1,none,0,0.0
2016,CAB0019,Trans-Atlantic,carrier,2001,15,2,7156.0,5,None,24.6,24.6,54.7,1,25,37,1,43.7,none,0,0.0
2017,CAB0019,Trans-Atlantic,carrier,2001,16,2,7156.0,5,None,24.6,24.6,69.0,1,25,37,1,45.2,none,0,1.0
2018,CAB0019,Trans-Atlantic,carrier,2001,17,2,7156.0,5,None,24.6,24.6,85.6,1,25,40,0,27.0,fishing_anchor,1,0.0
2019,CAB0019,Trans-Atlantic,carrier,2001,18,2,7156.0,5,None,24.6,24.6,67.8,1,25,45,0,28.6,none,0,1.0
2020,CAB0019,Trans-Atlantic,carrier,2001,19,2,7156.0,5,None,24.6,24.6,97.7,1,25,48,0,30.2,fishing_anchor,1,0.0
2021,CAB0019,Trans-Atlantic,carrier,2001,20,2,7156.0,5,None,24.6,24.6,100.0,1,25,50,0,31.7,none,0,0.0
2022,CAB0019,Trans-Atlantic,carrier,2001,21,2,7156.0,5,None,24.6,24.6,80.2,1,25,51,0,33.3,none,0,0.0
2023,CAB0019,Trans-Atlantic,carrier,2001,22,2,7156.0,5,None,24.6,24.6,93.0,1,25,54,0,34.9,none,0,0.0
2024,CAB0019,Trans-Atlantic,carrier,2001,23,2,7156.0,5,None,24.6,24.6,96.2,1,25,58,0,36.5,none,0,0.0
2025,CAB0019,Trans-Atlantic,carrier,2001,24,2,7156.0,5,None,24.6,24.6,98.3,1,25,62,0,38.1,none,0,0.0
2026,CAB0019,Trans-Atlantic,carrier,2001,25,2,7156.0,5,None,24.6,24.6,100.0,1,25,63,0,39.7,none,0,
2015,CAB0020,Intra-Europe,consortium,2007,8,22,1133.0,4,None,458.9,365.2,49.3,0,25,41,0,28.6,none,0,0.0
2016,CAB0020,Intra-Europe,consortium,2007,9,22,1133.0,4,None,458.9,369.9,41.5,0,25,42,0,30.2,none,0,0.0
2017,CAB0020,Intra-Europe,consortium,2007,10,22,1133.0,4,None,458.9,393.6,57.3,0,25,44,0,31.7,none,0,0.0
2018,CAB0020,Intra-Europe,consortium,2007,11,22,1133.0,4,None,458.9,406.1,77.6,0,25,45,0,33.3,none,0,0.0
2019,CAB0020,Intra-Europe,consortium,2007,12,22,1133.0,4,None,458.9,458.9,87.1,0,25,47,0,34.9,none,0,0.0
2020,CAB0020,Intra-Europe,consortium,2007,13,22,1133.0,4,None,458.9,458.9,71.3,0,25,49,0,36.5,none,0,0.0
2021,CAB0020,Intra-Europe,consortium,2007,14,22,1133.0,4,None,458.9,458.9,41.6,0,25,49,0,38.1,none,0,0.0
2022,CAB0020,Intra-Europe,consortium,2007,15,22,1133.0,4,None,458.9,458.9,100.0,0,25,52,0,39.7,none,0,0.0
2023,CAB0020,Intra-Europe,consortium,2007,16,22,1133.0,4,None,458.9,458.9,64.4,0,25,53,0,41.3,none,0,0.0
2024,CAB0020,Intra-Europe,consortium,2007,17,22,1133.0,4,None,458.9,458.9,87.9,0,25,53,0,42.9,none,0,0.0
2025,CAB0020,Intra-Europe,consortium,2007,18,22,1133.0,4,None,458.9,458.9,70.4,0,25,58,0,44.4,none,0,0.0
2026,CAB0020,Intra-Europe,consortium,2007,19,22,1133.0,4,None,458.9,458.9,56.9,0,25,60,0,46.0,none,0,
2015,CAB0021,Intra-Pacific-Islands,hyperscaler,2010,5,16,2702.0,5,None,402.3,243.2,68.7,0,25,28,1,43.7,none,0,0.0
2016,CAB0021,Intra-Pacific-Islands,hyperscaler,2010,6,16,2702.0,5,None,402.3,240.9,56.4,0,25,29,1,45.2,none,0,0.0
2017,CAB0021,Intra-Pacific-Islands,hyperscaler,2010,7,16,2702.0,5,None,402.3,245.7,69.6,0,25,29,1,46.8,none,0,0.0
2018,CAB0021,Intra-Pacific-Islands,hyperscaler,2010,8,16,2702.0,5,None,402.3,273.3,68.8,0,25,30,1,48.4,none,0,0.0
2019,CAB0021,Intra-Pacific-Islands,hyperscaler,2010,9,16,2702.0,5,None,402.3,291.4,60.9,0,25,35,1,50.0,none,0,0.0
2020,CAB0021,Intra-Pacific-Islands,hyperscaler,2010,10,16,2702.0,5,None,402.3,326.3,74.1,0,25,40,0,31.7,none,0,1.0
2021,CAB0021,Intra-Pacific-Islands,hyperscaler,2010,11,16,2702.0,5,None,402.3,373.7,41.8,0,25,41,0,33.3,fishing_anchor,1,0.0
